model,nlu_rank,nlg_rank,parameters,vocabulary_size,context,speed,commercial,merge,hotter-and-colder-sentiment,mim-gold-ner,scala-is,nqii,rrn,arc-is,winogrande-is
neuralmagic/Sparse-Llama-3.1-8B-2of4 (few-shot),3.75,3.41,8030,128,131072,2840.83,True,False,27.63,17.32,-0.29,47.17,56.87,10.62,1.78
ibm-granite/granite-3.0-3b-a800m-instruct (few-shot),3.76,3.41,3374,49,4096,10246.27,True,False,5.07,23.14,0.18,36.1,60.8,2.86,-1.31
NorwAI/NorwAI-Mistral-7B (few-shot),3.78,999.0,7537,68,3969,3034.67,True,False,20.73,21.4,0.99,36.9,54.12,,-0.68
google/gemma-2-2b (few-shot),3.79,3.41,2614,256,8193,5235.32,True,False,21.0,10.67,-0.21,43.48,59.97,10.08,1.16
google/gemma-2b-it (few-shot),3.81,3.41,2506,256,8192,6470.59,False,False,7.64,20.49,-0.01,37.64,59.16,0.45,0.62
HuggingFaceTB/SmolLM2-1.7B (few-shot),3.81,1.36,1711,49,8192,16248.88,True,False,8.08,20.5,0.83,28.36,57.52,3.16,-1.83
Qwen/Qwen1.5-4B-Chat (few-shot),3.83,1.59,3950,152,32768,4347.23,False,False,7.56,25.65,-0.35,32.31,62.11,4.5,-1.89
tollefj/nordavind-7b-instruct-warm (few-shot),3.83,3.41,7248,33,2048,6450.44,False,False,12.07,34.76,0.77,30.77,61.23,2.01,-0.76
AI-Sweden-Models/gpt-sw3-1.3b (few-shot),3.84,1.05,1445,64,2048,4607.55,True,False,3.65,1.42,0.75,45.28,64.23,0.4,0.68
dbmdz/bert-tiny-historic-multilingual-cased,3.85,999.0,5,32,512,78027.26,True,False,9.46,43.93,0.04,21.73,,,
TurkuNLP/bert-base-finnish-cased-v1,3.86,999.0,125,50,512,16700.86,True,False,29.13,34.58,0.55,24.32,,,
sentence-transformers/distiluse-base-multilingual-cased-v1,3.88,999.0,135,120,512,34041.87,True,False,35.18,45.47,1.14,21.45,,,
ibm-granite/granite-7b-base (few-shot),3.89,999.0,6738,32,2048,4405.37,True,False,1.82,28.06,0.1,27.33,56.42,,-0.82
Maltehb/aelaectra-danish-electra-small-uncased,3.9,999.0,14,32,128,5995.22,True,False,25.53,30.5,3.59,0.12,,,
google/gemma-2b (few-shot),3.91,3.41,2506,256,8192,6087.12,True,False,16.0,8.83,0.31,37.41,60.0,2.52,0.0
Qwen/Qwen1.5-4B (few-shot),3.91,1.59,3950,152,32768,3247.86,True,False,5.2,15.66,-0.55,34.56,57.17,5.46,-1.71
ltg/norbert3-base,3.92,999.0,124,50,512,11405.28,True,False,34.62,68.22,2.41,0.0,,,
sentence-transformers/distiluse-base-multilingual-cased-v2,3.94,999.0,135,120,512,33246.61,True,False,34.19,48.62,2.64,12.16,,,
sentence-transformers/distiluse-base-multilingual-cased,3.94,999.0,135,120,512,19205.51,True,False,33.35,47.62,2.64,12.2,,,
ltg/norbert2,3.95,999.0,125,50,512,15523.39,True,False,30.38,28.74,3.0,19.93,,,
stabilityai/stablelm-2-1_6b (few-shot),3.95,999.0,1645,100,4096,7258.53,True,False,16.83,32.19,0.37,27.03,51.86,,-5.46
meta-llama/Llama-3.2-1B (few-shot),3.96,3.41,1236,128,131073,7577.45,True,False,9.23,17.77,-0.35,30.75,54.21,0.71,2.88
ibm-granite/granite-3.0-3b-a800m-base (few-shot),3.96,3.41,3374,49,4096,10504.04,True,False,1.67,18.07,-0.72,30.66,56.49,0.32,1.0
ibm-granite/granite-7b-instruct (few-shot),3.97,3.41,6738,32,4096,3136.16,True,False,-0.51,19.07,0.99,25.84,59.42,0.79,-3.2
asafaya/bert-base-arabic,3.97,999.0,111,32,512,16346.96,True,False,24.52,22.51,0.23,24.09,,,
sarnikowski/convbert-medium-small-da-cased,3.98,999.0,24,29,512,13820.64,True,False,25.34,28.16,2.05,24.09,,,
NorwAI/NorwAI-Llama2-7B (few-shot),4.01,999.0,7033,68,3969,4437.75,True,False,7.01,9.35,1.14,30.04,51.6,,0.47
ibm-granite/granite-3.0-1b-a400m-instruct (few-shot),4.07,3.41,1335,49,4096,7964.03,True,False,3.84,17.74,-1.13,24.78,58.6,-1.11,-4.23
Qwen/Qwen1.5-1.8B-Chat (few-shot),4.07,1.59,1837,152,32768,8303.55,False,False,6.87,14.15,0.78,23.47,57.27,1.62,1.92
sarnikowski/convbert-small-da-cased,4.07,999.0,13,29,512,14273.42,True,False,24.23,25.49,1.63,22.5,,,
timpal0l/Mistral-7B-v0.1-flashback-v2-instruct (few-shot),4.1,3.41,7242,32,32768,5172.48,False,False,13.57,24.98,1.18,21.32,39.94,4.83,4.7
fresh-xlm-roberta-base,4.11,999.0,278,250,512,2214.08,True,False,25.25,17.34,-0.06,21.61,,,
Qwen/Qwen1.5-1.8B (few-shot),4.13,1.59,1837,152,32768,5665.51,True,False,5.43,12.26,0.94,20.24,55.32,3.65,1.13
utter-project/EuroLLM-1.7B-Instruct (few-shot),4.16,3.41,1657,128,4096,15008.58,True,False,6.83,13.29,0.92,24.16,56.76,0.59,1.87
state-spaces/mamba-2.8b-hf (few-shot),4.16,3.41,2768,50,32769,2721.51,True,False,-1.7,18.38,0.49,23.24,51.62,2.25,-6.17
RJuro/kanelsnegl-v0.2 (few-shot),4.16,1.59,7242,32,512,1373.32,True,False,4.0,23.67,0.0,14.61,50.54,0.0,0.0
HuggingFaceTB/SmolLM2-360M (few-shot),4.18,1.59,362,49,8192,22023.39,True,False,1.77,13.43,1.14,16.21,51.93,0.95,2.9
alexanderfalk/danbert-small-cased,4.18,999.0,83,52,512,30013.37,True,False,29.54,12.39,1.63,16.29,,,
Qwen/Qwen1.5-0.5B (few-shot),4.19,3.37,620,152,32768,11371.34,True,False,1.95,16.2,-0.57,16.86,56.0,1.96,0.85
HuggingFaceTB/SmolLM2-360M-Instruct (few-shot),4.2,1.59,362,49,8192,21776.98,True,False,3.12,13.6,0.28,16.34,50.0,-0.11,2.51
Qwen/Qwen1.5-0.5B-Chat (few-shot),4.22,1.63,620,152,32768,11740.04,False,False,1.63,9.5,1.76,17.84,58.92,-1.28,1.48
ibm-granite/granite-3.0-1b-a400m-base (few-shot),4.29,3.41,1385,49,4096,7808.38,True,False,4.82,5.62,-0.2,18.58,58.01,0.78,-2.14
HuggingFaceTB/SmolLM2-135M (few-shot),4.31,1.59,135,49,8192,26346.08,True,False,2.1,14.74,-0.25,10.92,52.66,1.21,1.69
HuggingFaceTB/SmolLM2-135M-Instruct (few-shot),4.35,1.59,135,49,8192,25602.11,True,False,3.01,13.7,-0.83,10.22,50.3,1.1,-0.07
RuterNorway/Llama-2-7b-chat-norwegian (few-shot),4.37,1.59,N/A,32,4096,10889.7,False,False,3.32,9.48,0.07,7.35,55.16,-0.8,-0.16
RJuro/kanelsnegl-v0.1 (few-shot),4.42,999.0,7242,32,510,5847.39,True,False,6.82,0.0,0.0,11.9,55.33,0.0,
NorGLM/NorGPT-369M (few-shot),4.47,3.37,N/A,64,1024,19895.92,True,False,0.51,1.68,-1.38,10.05,44.02,0.15,0.28
fresh-electra-small,4.47,999.0,14,31,512,7840.02,True,False,30.18,9.96,-0.1,4.48,,,
NorwAI/NorwAI-Mistral-7B-pretrain (few-shot),4.49,999.0,7537,68,3969,3023.95,True,False,5.2,3.69,1.24,5.14,40.18,,-3.06
ltg/norbert,4.5,999.0,111,33,512,16280.12,True,False,-1.89,0.0,-0.03,13.5,,,
Sigurdur/qa-icebreaker (few-shot),4.57,999.0,110,32,1024,44888.92,False,False,0.0,0.0,0.0,4.86,42.23,,0.0
Sigurdur/icebreaker (few-shot),4.59,1.85,110,32,1024,48618.98,False,False,0.0,0.0,0.0,3.9,44.8,0.23,0.38
Sigurdur/icechat (few-shot),4.65,1.93,110,32,1024,49557.9,False,False,0.0,0.0,0.0,0.64,42.46,0.0,0.0
ai-forever/mGPT (few-shot),4.65,3.37,N/A,100,1024,11734.33,True,False,3.82,0.0,0.0,0.05,17.11,-0.02,0.47
Sigurdur/jonas-hallgrimsson-gpt2 (few-shot),4.66,3.37,125,51,512,32643.73,False,False,0.0,0.0,0.0,0.0,0.0,-0.26,-0.01
ssmits/Falcon2-5.5B-multilingual (few-shot),4.74,3.41,5465,65,8192,7691.9,True,False,0.0,0.0,0.0,0.02,36.58,-0.0,0.0
TrustLLMeu/baseline-7-8b_1t-tokens_llama (few-shot),999.0,1.59,7800,100,4096,6196.57,True,False,,36.02,5.05,50.31,66.77,1.7,-1.88
allenai/OLMo-1.7-7B-hf (few-shot),999.0,3.37,6888,50,4096,3371.43,True,False,,27.44,1.46,39.06,58.3,2.14,2.43
01-ai/Yi-6B (few-shot),999.0,1.08,6061,64,4096,6435.34,True,False,8.76,0.0,,40.63,60.02,4.35,0.72
upstage/SOLAR-10.7B-v1.0 (few-shot),999.0,3.41,10732,32,4096,3780.42,True,False,,62.08,7.58,56.6,66.11,18.75,7.64
google/gemma-2-27b-it (few-shot),999.0,3.41,27227,256,8193,1516.14,True,False,,55.48,20.1,53.76,68.83,67.22,35.27
google/gemma-2-9b-it (few-shot),999.0,3.41,9242,256,8193,2062.05,True,False,,45.42,24.23,55.04,68.19,54.3,24.35
mistralai/Mistral-Nemo-Instruct-2407 (few-shot),999.0,3.41,12248,131,1024001,7094.98,True,False,,59.7,4.64,58.88,68.13,41.76,13.24
google/gemma-7b-it (few-shot),999.0,3.41,8538,256,8192,1792.03,False,False,,37.69,3.11,43.26,63.71,7.7,-5.17
skole-gpt-mixtral (few-shot),999.0,3.41,N/A,32,32768,3582.66,False,False,,42.15,4.49,56.11,66.89,19.27,9.45
"mlabonne/NeuralBeagle14-7B (few-shot, val)",999.0,3.41,7242,32,8192,2549.38,False,True,,49.86,1.26,55.51,65.6,5.19,12.9
"gpt-3.5-turbo-0613 (few-shot, val)",999.0,3.41,N/A,100,4095,920.94,True,False,,69.59,7.28,50.29,67.1,49.88,18.61
"gpt-4-0613 (few-shot, val)",999.0,3.41,N/A,100,8190,597.21,True,False,,78.67,33.65,60.12,69.21,86.32,74.02
meta-llama/Llama-2-13b-chat-hf (few-shot),999.0,3.41,13016,32,4096,2849.49,True,False,,37.53,0.14,43.86,66.15,7.17,-0.55
meta-llama/Llama-2-13b-hf (few-shot),999.0,3.41,13016,32,4096,2898.43,True,False,,36.56,1.73,46.27,63.5,5.6,-5.8
LumiOpen/Viking-13B (few-shot),999.0,1.59,14030,131,4097,839.52,True,False,,26.28,2.17,45.48,62.07,-0.07,-2.92
google/gemma-2-9b (few-shot),999.0,3.41,9242,256,8193,2037.53,True,False,,30.89,5.29,58.2,67.58,55.69,17.5
google/gemma-7b (few-shot),999.0,3.41,8538,256,8192,1377.83,True,False,,30.61,5.6,55.22,65.03,32.53,1.14
