model,rank,parameters,vocabulary_size,context,speed,commercial,merge,norec,norne_nb,norne_nn,scala_nb,scala_nn,norquad,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version
NbAiLab/nb-roberta-base-scandi,1.7,278295700.0,250002,514,13723.77,✓,✗,54.67 ± 2.61 / 66.04 ± 3.71@@54.67491610457307,90.95 ± 0.85 / 90.67 ± 0.92@@90.9548364321228,85.75 ± 1.34 / 87.07 ± 1.21@@85.75002782673928,66.37 ± 4.13 / 81.29 ± 2.91@@66.37311153162398,66.79 ± 2.65 / 81.95 ± 1.94@@66.79164724258877,46.09 ± 10.26 / 34.02 ± 7.61@@46.089040279113775,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
ltg/norbert3-base,1.71,124030464.0,50000,512,20252.89,✓,✗,49.96 ± 3.83 / 59.96 ± 5.05@@49.963895655501844,84.85 ± 0.92 / 85.72 ± 0.90@@84.84656325202123,79.47 ± 1.62 / 81.09 ± 1.39@@79.46955575375208,63.77 ± 6.70 / 80.80 ± 3.32@@63.76949999655578,55.92 ± 8.32 / 76.51 ± 4.68@@55.917283975408225,69.09 ± 1.10 / 53.37 ± 1.01@@69.09013017537536,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
NbAiLab/nb-roberta-base-scandi-1e4,1.71,278295700.0,250002,514,13658.85,✓,✗,55.30 ± 3.34 / 68.04 ± 3.19@@55.30137383861956,88.67 ± 1.68 / 88.90 ± 1.45@@88.67411559095817,85.55 ± 1.28 / 86.42 ± 0.85@@85.55365381541237,63.99 ± 5.52 / 79.48 ± 3.95@@63.993660397586375,65.33 ± 3.15 / 80.63 ± 2.32@@65.32613103119735,48.08 ± 2.57 / 34.88 ± 2.40@@48.07616698068453,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
abhishek/autotrain-llama3-oh-sft-v0-2 (few-shot),1.73,70553837568.0,128264,8190,2668.37,✗,✗,63.91 ± 1.74 / 75.51 ± 1.63@@63.90836506831562,80.97 ± 1.73 / 74.56 ± 3.82@@80.97083246741342,79.69 ± 0.64 / 75.12 ± 2.70@@79.6945621836462,39.82 ± 3.91 / 60.91 ± 4.26@@39.82357064711949,26.86 ± 2.91 / 53.05 ± 3.88@@26.857483766439476,75.80 ± 2.01 / 47.06 ± 3.13@@75.79783039696417,12.9.1@@120901,12.9.1@@120901,12.9.1@@120901,12.9.1@@120901,12.9.1@@120901,12.9.1@@120901
"gpt-4o-mini-2024-07-18 (few-shot, val)",1.77,,200019,8191,784.26,✓,✗,67.45 ± 4.03 / 77.50 ± 2.90@@67.45354338429006,72.74 ± 1.75 / 57.58 ± 4.14@@72.74053009268455,69.17 ± 2.61 / 56.34 ± 3.95@@69.172021370748,74.27 ± 2.57 / 86.86 ± 1.43@@74.26882065130759,54.83 ± 3.96 / 76.91 ± 1.98@@54.82939284320224,43.45 ± 1.90 / 3.67 ± 1.64@@43.45459875760885,14.0.0@@140000,14.0.0@@140000,14.0.0@@140000,14.0.0@@140000,14.0.0@@140000,14.0.0@@140000
KennethEnevoldsen/dfm-sentence-encoder-large-1,1.78,407389520.0,50000,512,6362.73,✓,✗,54.50 ± 2.90 / 66.42 ± 3.29@@54.49574096404339,84.03 ± 0.79 / 82.91 ± 0.66@@84.02559188724948,81.62 ± 0.96 / 80.46 ± 1.12@@81.6225056893688,58.66 ± 7.19 / 78.53 ± 3.54@@58.66111169396516,38.92 ± 7.87 / 67.88 ± 4.55@@38.91549920530245,67.53 ± 2.06 / 51.69 ± 2.40@@67.53301825353512,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
google/gemma-2-9b-it (few-shot),1.8,9241705984.0,256000,8193,2062.05,✓,✗,61.06 ± 1.21 / 73.45 ± 0.94@@61.05768501984746,61.82 ± 2.72 / 44.91 ± 3.62@@61.82292753364793,60.41 ± 2.62 / 46.29 ± 3.79@@60.40994690191126,62.46 ± 1.49 / 81.11 ± 0.72@@62.45688608560383,52.99 ± 1.89 / 76.14 ± 1.20@@52.99071394454826,70.14 ± 1.53 / 39.10 ± 1.50@@70.14128370956253,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
"gpt-3.5-turbo-0613 (few-shot, val)",1.83,,100256,4095,920.94,✓,✗,58.88 ± 3.23 / 71.00 ± 2.87@@58.87826531047657,77.70 ± 2.64 / 68.71 ± 2.97@@77.70493240369429,73.92 ± 2.53 / 67.96 ± 2.67@@73.91743058632116,54.29 ± 4.27 / 73.02 ± 3.26@@54.293667671298905,32.82 ± 3.43 / 56.05 ± 4.14@@32.8165829907981,73.47 ± 1.69 / 45.35 ± 2.97@@73.4660781237623,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,12.9.0@@120900
danish-foundation-models/encoder-large-v1,1.85,355139920.0,50000,512,6325.69,✓,✗,50.09 ± 11.20 / 63.00 ± 9.19@@50.08776548874555,83.54 ± 1.08 / 82.49 ± 0.87@@83.54403676556228,82.68 ± 0.69 / 81.22 ± 0.81@@82.6792949810024,62.95 ± 4.72 / 79.71 ± 2.94@@62.94616581512867,40.41 ± 12.70 / 68.45 ± 6.58@@40.405641973018405,67.74 ± 2.21 / 51.85 ± 2.64@@67.73576317375856,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
vesteinn/ScandiBERT-no-faroese,1.85,124498007.0,50005,514,14175.34,✓,✗,48.42 ± 2.73 / 56.58 ± 5.09@@48.4201579396822,89.49 ± 0.99 / 90.09 ± 0.58@@89.4871506956336,84.67 ± 1.28 / 86.23 ± 0.89@@84.67154504166136,64.96 ± 3.29 / 81.15 ± 2.27@@64.9571581791659,54.54 ± 8.77 / 74.04 ± 7.07@@54.53950517450934,54.94 ± 1.69 / 40.48 ± 1.60@@54.9373190634649,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
pere/roberta-base-exp-32B,1.9,278043648.0,250002,512,15102.57,✓,✗,52.19 ± 2.87 / 65.60 ± 2.58@@52.19482897988572,90.60 ± 1.16 / 87.83 ± 1.34@@90.6007672976846,86.76 ± 0.82 / 83.48 ± 0.98@@86.76001173189819,54.98 ± 14.19 / 75.67 ± 6.70@@54.978702067938755,58.33 ± 10.94 / 77.88 ± 5.29@@58.32924111519689,41.75 ± 1.59 / 29.17 ± 1.36@@41.750972809183956,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
intfloat/multilingual-e5-large,1.9,559890946.0,250002,512,6118.45,✓,✗,61.71 ± 1.19 / 72.31 ± 1.61@@61.70978027794361,86.39 ± 2.22 / 87.33 ± 1.69@@86.39167684989927,80.62 ± 1.96 / 83.13 ± 1.64@@80.61952229159061,59.82 ± 2.07 / 78.66 ± 1.47@@59.8157943918449,19.01 ± 6.77 / 57.90 ± 3.90@@19.01237398770856,61.25 ± 2.17 / 40.87 ± 2.95@@61.247788265575096,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
pere/roberta-base-exp-32,1.9,278043648.0,250002,514,33027.09,✓,✗,54.19 ± 2.81 / 66.96 ± 3.79@@54.19398713881575,89.86 ± 1.35 / 89.67 ± 1.36@@89.85859332316888,85.91 ± 0.81 / 87.02 ± 0.57@@85.9064584654624,55.82 ± 13.65 / 74.96 ± 8.44@@55.82373984633493,47.90 ± 16.56 / 70.52 ± 9.97@@47.89718455089396,41.54 ± 9.20 / 30.19 ± 6.67@@41.54135063485275,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
FacebookAI/xlm-roberta-large,1.91,561192082.0,250002,512,8459.71,✓,✗,57.61 ± 5.39 / 66.28 ± 7.76@@57.61421246678743,89.23 ± 0.75 / 89.76 ± 0.53@@89.22992136591358,85.57 ± 0.68 / 86.74 ± 0.40@@85.56509808249814,45.53 ± 19.90 / 68.61 ± 13.08@@45.52757866982038,23.90 ± 16.05 / 55.81 ± 11.31@@23.89615351669303,63.65 ± 1.58 / 45.96 ± 1.65@@63.6491050499744,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
intfloat/multilingual-e5-large-instruct,1.92,559890432.0,250002,514,5947.27,✓,✗,63.35 ± 0.63 / 74.20 ± 0.91@@63.3541372133389,89.27 ± 1.00 / 90.42 ± 0.65@@89.2727322679096,83.78 ± 1.53 / 86.17 ± 1.36@@83.77593957581011,55.71 ± 11.72 / 77.00 ± 5.84@@55.70642968012356,12.32 ± 12.70 / 53.74 ± 7.38@@12.320906439650372,58.52 ± 7.90 / 38.74 ± 7.61@@58.52398191903304,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
pere/roberta-base-exp-8,1.93,278043648.0,250002,514,33368.73,✓,✗,49.26 ± 3.65 / 60.83 ± 5.32@@49.26474674676741,86.96 ± 0.95 / 87.21 ± 0.89@@86.9593767113533,81.95 ± 1.31 / 83.56 ± 1.12@@81.94641981328012,54.72 ± 16.82 / 73.96 ± 10.86@@54.71504764116754,56.17 ± 11.02 / 74.28 ± 8.65@@56.16804010938592,49.08 ± 3.55 / 35.98 ± 3.30@@49.08473554893536,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
meta-llama/Llama-3.1-405B-Instruct-FP8 (few-shot),1.93,405868625920.0,128256,131072,798.95,✓,✗,40.55 ± 0.50 / 40.35 ± 0.39@@40.55146163126498,82.44 ± 1.19 / 81.86 ± 1.20@@82.441170394747,82.17 ± 0.89 / 82.07 ± 1.38@@82.17073675205769,63.91 ± 1.57 / 79.76 ± 1.13@@63.90959041621066,45.93 ± 1.97 / 67.09 ± 1.85@@45.9274339498503,73.27 ± 1.24 / 45.33 ± 1.59@@73.26582616095848,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
mistralai/Mistral-Nemo-Instruct-2407 (few-shot),1.95,12247782400.0,131072,1024001,7094.98,✓,✗,60.64 ± 2.52 / 73.91 ± 1.86@@60.638173574689326,70.14 ± 1.60 / 51.03 ± 3.02@@70.1436036423645,68.74 ± 1.21 / 51.48 ± 2.96@@68.7382176163888,35.59 ± 2.29 / 61.96 ± 3.72@@35.59232293151245,29.22 ± 2.86 / 60.98 ± 4.02@@29.221965091839298,76.01 ± 3.10 / 49.87 ± 4.84@@76.01096757354112,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
NbAiLab/nb-bert-large,1.95,356191570.0,50000,512,8732.73,✓,✗,53.90 ± 5.36 / 66.22 ± 6.18@@53.90322471675346,82.38 ± 0.68 / 81.80 ± 0.76@@82.38264810123897,81.06 ± 0.95 / 80.40 ± 1.01@@81.06497382824422,55.39 ± 16.76 / 76.88 ± 8.53@@55.39030587220275,34.77 ± 17.70 / 66.42 ± 9.11@@34.765287294277115,62.24 ± 1.54 / 45.23 ± 1.71@@62.24376192101299,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
NorwAI/NorwAI-Mixtral-8x7B (few-shot),1.95,46997647360.0,67993,32768,2368.15,✓,✗,59.48 ± 2.27 / 73.61 ± 2.04@@59.48206442478223,58.53 ± 2.06 / 39.86 ± 1.77@@58.527579521054285,60.26 ± 1.71 / 41.24 ± 1.50@@60.2614766028438,51.85 ± 2.78 / 73.40 ± 2.33@@51.84669317855886,41.89 ± 3.17 / 69.00 ± 2.68@@41.88570711274536,72.01 ± 4.49 / 48.43 ± 5.51@@72.00903544485756,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.3.0@@140300
meta-llama/Meta-Llama-3-70B (few-shot),1.96,70553706496.0,128256,8192,1298.94,✓,✗,39.77 ± 0.44 / 40.05 ± 0.38@@39.773733720969325,79.76 ± 1.61 / 69.73 ± 3.22@@79.76262913022751,78.23 ± 1.12 / 69.33 ± 3.61@@78.22593363186228,54.98 ± 1.98 / 75.21 ± 1.36@@54.97700424864477,45.17 ± 1.81 / 71.03 ± 1.66@@45.16896233283162,78.09 ± 3.73 / 55.34 ± 6.10@@78.08941097723824,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
google/gemma-2-27b (few-shot),1.96,27227128320.0,256000,8193,1530.93,✓,✗,64.15 ± 2.03 / 76.14 ± 1.68@@64.15326553549232,42.58 ± 1.77 / 43.06 ± 1.89@@42.57652468209172,40.43 ± 0.91 / 40.42 ± 1.46@@40.43071706276537,51.59 ± 5.86 / 72.57 ± 4.90@@51.58907910792186,42.41 ± 3.62 / 68.76 ± 3.06@@42.4082312014323,80.21 ± 4.49 / 58.55 ± 6.45@@80.20519414072655,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
google/gemma-2-9b (few-shot),1.97,9241705984.0,256000,8193,2037.53,✓,✗,62.54 ± 1.17 / 75.53 ± 0.73@@62.54063859584542,54.08 ± 2.08 / 34.62 ± 1.80@@54.07797845881663,54.33 ± 3.02 / 37.70 ± 2.97@@54.32543045120334,50.88 ± 2.84 / 74.69 ± 1.56@@50.87553684353851,41.01 ± 1.91 / 69.35 ± 1.67@@41.006863755299264,72.99 ± 3.16 / 46.25 ± 3.89@@72.9882459906947,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
vesteinn/FoBERT,2.0,124498007.0,50005,514,35628.61,✓,✗,49.32 ± 3.48 / 58.50 ± 5.36@@49.32259725892745,88.64 ± 1.36 / 89.30 ± 0.81@@88.63732538264213,83.18 ± 0.65 / 84.92 ± 0.46@@83.17705656490867,62.24 ± 4.82 / 79.07 ± 4.02@@62.242000401292486,46.59 ± 8.87 / 70.90 ± 5.69@@46.58818140031567,46.96 ± 3.54 / 33.89 ± 2.97@@46.96437565335425,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
meta-llama/Llama-3.1-70B-Instruct (few-shot),2.01,70553706496.0,128256,131072,1408.67,✓,✗,40.65 ± 0.45 / 40.56 ± 0.29@@40.648214542170194,80.05 ± 0.87 / 67.79 ± 1.90@@80.05217320935962,80.67 ± 0.92 / 69.11 ± 3.29@@80.67174245441142,56.42 ± 1.70 / 76.10 ± 1.29@@56.41836369769423,38.21 ± 3.25 / 64.61 ± 2.89@@38.21201251725559,74.92 ± 1.35 / 49.22 ± 2.20@@74.92381588285137,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003
meta-llama/Llama-3.3-70B-Instruct (few-shot),2.03,70553706496.0,128256,131072,1353.36,✓,✗,41.11 ± 0.41 / 40.48 ± 0.38@@41.10970924416197,79.84 ± 1.02 / 67.96 ± 2.10@@79.83736629339629,79.93 ± 0.81 / 68.93 ± 2.65@@79.92632577116983,57.84 ± 1.77 / 77.97 ± 1.19@@57.84278666902291,43.52 ± 2.51 / 69.59 ± 2.20@@43.51958684350309,69.52 ± 1.07 / 40.92 ± 1.45@@69.52442913263751,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003
ThatsGroes/gemma-2-27b-it-FP8-Dynamic (few-shot),2.04,28410968576.0,256000,4096,3632.83,✓,✗,40.54 ± 0.72 / 39.96 ± 0.60@@40.537594913502936,76.25 ± 1.39 / 60.31 ± 3.22@@76.2501753703093,77.91 ± 0.47 / 61.81 ± 3.84@@77.90799330851716,59.75 ± 1.66 / 78.91 ± 1.21@@59.747183039485485,47.82 ± 2.00 / 73.51 ± 1.21@@47.82481488522809,69.77 ± 1.17 / 40.99 ± 1.38@@69.77222071459184,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
"152334H/miqu-1-70b-sf (few-shot, val)",2.04,68976648192.0,32000,32762,2126.22,✓,✗,60.58 ± 4.96 / 70.33 ± 4.12@@60.575111253202785,66.75 ± 2.07 / 58.61 ± 3.33@@66.75321995772346,66.81 ± 2.57 / 57.71 ± 3.04@@66.81422725021602,47.53 ± 4.07 / 72.24 ± 2.31@@47.53131396229916,17.14 ± 4.72 / 51.14 ± 4.36@@17.14479373677355,72.51 ± 1.91 / 41.92 ± 3.36@@72.50661488139053,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700
Qwen/Qwen2.5-72B-Instruct (few-shot),2.06,72706203648.0,152064,32768,1218.79,✓,✗,39.85 ± 0.65 / 39.69 ± 0.52@@39.84702501889114,72.21 ± 1.25 / 49.58 ± 2.05@@72.20709874153111,70.24 ± 1.23 / 52.09 ± 2.38@@70.24170336145446,63.14 ± 1.27 / 81.41 ± 0.62@@63.14315211250159,43.24 ± 1.56 / 71.36 ± 0.86@@43.24488479341772,73.20 ± 2.14 / 43.41 ± 3.02@@73.19899041091432,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
setu4993/LaBSE,2.09,470927360.0,501153,512,36581.03,✓,✗,49.79 ± 2.99 / 62.33 ± 3.84@@49.78590639467312,87.94 ± 1.10 / 88.42 ± 0.96@@87.94280079839535,84.63 ± 1.39 / 85.76 ± 1.22@@84.63226959799499,45.84 ± 10.78 / 71.92 ± 5.34@@45.837407162674786,35.01 ± 8.48 / 66.22 ± 4.40@@35.014948002439375,54.57 ± 1.75 / 39.41 ± 1.43@@54.56779300400236,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
NbAiLab/nb-bert-base,2.1,178567165.0,119547,512,17178.91,✓,✗,56.55 ± 3.11 / 67.23 ± 4.80@@56.54503619137567,87.18 ± 1.14 / 87.57 ± 1.01@@87.17573669505232,85.69 ± 1.02 / 86.55 ± 0.87@@85.68851000287744,67.26 ± 1.23 / 82.27 ± 0.72@@67.25733250138266,60.80 ± 1.19 / 78.68 ± 0.74@@60.799030112798334,12.71 ± 2.12 / 6.57 ± 1.26@@12.709741858507858,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
Qwen/QwQ-32B-Preview (few-shot),2.12,32763876352.0,152064,32768,2258.16,✓,✗,38.41 ± 0.87 / 38.78 ± 0.71@@38.40935539218505,75.68 ± 1.44 / 63.54 ± 3.33@@75.67949476702569,75.89 ± 0.88 / 63.84 ± 4.94@@75.88769074495954,56.42 ± 1.37 / 77.77 ± 0.78@@56.42047411442098,39.34 ± 2.27 / 69.48 ± 1.18@@39.34455583893322,71.44 ± 3.05 / 44.35 ± 3.74@@71.4381965610203,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
ltg/norbert3-small,2.13,40634112.0,50000,512,24066.68,✓,✗,43.93 ± 2.45 / 53.41 ± 4.58@@43.932779018787514,78.43 ± 0.90 / 80.18 ± 0.91@@78.42694181076301,75.77 ± 1.45 / 77.90 ± 1.23@@75.77133140162258,56.76 ± 6.29 / 77.01 ± 3.86@@56.75885670297636,42.28 ± 10.94 / 68.47 ± 8.22@@42.283692181143465,55.13 ± 2.18 / 40.06 ± 2.09@@55.126392529552206,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
nvidia/Llama-3.1-Nemotron-70B-Instruct-HF (few-shot),2.13,70553706496.0,128256,131072,1207.76,✓,✗,39.87 ± 0.47 / 39.97 ± 0.29@@39.8737459664756,69.21 ± 1.13 / 41.18 ± 1.79@@69.2066917172586,70.45 ± 1.43 / 43.05 ± 2.42@@70.45422021192141,57.80 ± 1.53 / 78.16 ± 0.92@@57.79845660207067,40.31 ± 2.88 / 68.01 ± 2.32@@40.310494981126716,72.01 ± 0.69 / 40.97 ± 1.43@@72.00565041421785,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
NorwAI/NorwAI-Mixtral-8x7B-instruct (few-shot),2.15,46997647360.0,67993,32768,9015.47,✓,✗,57.94 ± 2.51 / 71.75 ± 2.43@@57.942174860400385,58.05 ± 2.37 / 42.27 ± 2.34@@58.04562537329685,59.65 ± 1.56 / 42.70 ± 2.35@@59.64924742225437,51.36 ± 5.61 / 73.74 ± 5.30@@51.35675164747051,42.84 ± 3.95 / 70.80 ± 2.32@@42.84077696099615,53.03 ± 2.43 / 14.72 ± 3.35@@53.02973215318398,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
